timestamp,speed_kmh,battery_temp_c,motor_temp_c,battery_voltage_v,gps_lat,gps_lon,network_type,signal_dbm,packet_loss_pct
2026-08-13 10:00:00,42,31.2,45.8,398.4,40.2033,-8.4103,5G,-72,0.2
2026-08-13 10:01:00,45,31.8,47.1,397.9,40.2041,-8.4097,5G,-74,0.4
2026-08-13 10:02:00,51,32.5,49.3,397.2,40.2049,-8.4090,5G,-76,0.3
2026-08-13 10:03:00,58,34.1,53.7,396.5,40.2056,-8.4084,4G,-91,2.1
2026-08-13 10:04:00,63,36.8,58.9,395.1,40.2062,-8.4078,4G,-96,4.8
2026-08-13 10:05:00,67,39.5,63.4,393.8,40.2069,-8.4071,4G,-101,7.6
2026-08-13 10:06:00,70,43.2,69.8,392.1,40.2075,-8.4065,4G,-104,11.3
2026-08-13 10:07:00,68,44.7,72.5,391.4,40.2081,-8.4059,4G,-106,14.7
2026-08-13 10:08:00,55,41.3,65.2,392.8,40.2087,-8.4052,5G,-82,1.2
2026-08-13 10:09:00,47,37.6,57.8,394.6,40.2094,-8.4046,5G,-75,0.5
